city,state,population
McKinney ,TX,"121,211"
Concord ,CA,"121,160"
Visalia ,CA,"121,040"
Simi Valley ,CA,"120,543"
Olathe ,KS,"119,993"
Clarksville ,TN,"119,735"
Denton ,TX,"119,454"
Stamford ,CT,"119,303"
Provo ,UT,"118,581"
Springfield ,IL,"117,352"
Killeen ,TX,"116,934"
Abilene ,TX,"116,484"
Evansville ,IN,"116,309"
Gainesville ,FL,"114,916"
Vallejo ,CA,"114,729"
Ann Arbor ,MI,"114,386"
Peoria ,IL,"114,114"
Lansing ,MI,"113,968"
Lafayette ,LA,"113,656"
Thornton ,CO,"113,429"
Athens,GA,"113,398"
Flint ,MI,"112,900"
Inglewood ,CA,"112,714"
Roseville ,CA,"112,660"
Charleston ,SC,"111,978"
Beaumont ,TX,"110,553"
Independence ,MO,"110,440"
Victorville ,CA,"110,318"
Santa Clara ,CA,"110,200"
Costa Mesa ,CA,"110,080"
Miami Gardens ,FL,"109,346"
Manchester ,NH,"108,586"
Miramar ,FL,"108,484"
Downey ,CA,"107,587"
Arvada ,CO,"107,361"
Allentown ,PA,"107,250"
Westminster ,CO,"107,056"
Waterbury ,CT,"107,037"
Norman ,OK,"106,957"
Midland ,TX,"106,561"
Elgin ,IL,"106,330"
West Covina ,CA,"105,790"
Clearwater ,FL,"105,774"
Cambridge ,MA,"105,596"
Pueblo ,CO,"104,951"
West Jordan ,UT,"104,447"
Round Rock ,TX,"104,446"
Billings ,MT,"103,994"
Erie ,PA,"103,817"
South Bend ,IN,"103,807"
Ventura,CA,"103,706"
Fairfield ,CA,"103,683"
Lowell ,MA,"103,615"
Norwalk ,CA,"102,982"
Burbank ,CA,"102,968"
Richmond ,CA,"102,285"
Pompano Beach ,FL,"101,943"
High Point ,NC,"101,835"
Murfreesboro ,TN,"101,753"
Lewisville ,TX,"101,624"
Richardson ,TX,"101,589"
Daly City ,CA,"101,514"
Berkeley ,CA,"101,371"
Gresham ,OR,"101,221"
Wichita Falls ,TX,"101,202"
Green Bay ,WI,"101,025"
Davenport ,IA,"100,827"
Palm Bay ,FL,"100,786"
Columbia ,MO,"100,733"
Portsmouth ,VA,"100,577"
Rochester ,MN,"100,413"
Antioch ,CA,"100,219"
Wilmington ,NC,"100,192"
Centennial ,CO,"99,680"
Odessa ,TX,"98,801"
West Palm Beach ,FL,"98,779"
Rialto ,CA,"98,700"
Everett ,WA,"98,212"
Murrieta ,CA,"97,918"
Tyler ,TX,"97,705"
Temecula ,CA,"97,100"
Kenosha ,WI,"96,950"
Frisco ,TX,"96,676"
Sandy ,UT,"96,660"
South Gate ,CA,"96,640"
Carlsbad ,CA,"96,374"
Gary ,IN,"95,920"
Mission Viejo ,CA,"94,461"
North Charleston ,SC,"94,407"
Boulder ,CO,"94,171"
Compton ,CA,"93,851"
Hillsboro ,OR,"93,638"
Albany ,NY,"93,539"
Fargo ,ND,"93,531"
Lakeland ,FL,"93,333"
Orem ,UT,"93,250"
Brockton ,MA,"93,007"
Roanoke ,VA,"92,967"
Broken Arrow ,OK,"92,931"
Surprise ,AZ,"92,897"
Macon ,GA,"92,775"
