Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Ken Buck,Republican,Colorado,CO-04,Teletown Hall,"Thu, Feb 23, 2017","7:00 PM, MST",,Colorado
Ed Perlmutter,Democrat,Colorado,CO-07,Mobile Office Hours,"Sat, Feb 25, 2017","10:00 AM, MST",Anythink Huron Street Library,"9417 Huron St, Thornton, CO 80260"
Ed Perlmutter,Democrat,Colorado,CO-07,Other,"Fri, Mar 3, 2017","10:00 AM, MST",Margaret Carpenter Recreation Center,"11151 Colorado Blvd, Thornton, CO 80233"
Jared Polis,Democrat,Colorado,CO-02,Town Hall,"Sun, Mar 12, 2017","2:00 PM, MST",TBA,"Northglenn, CO 80233"
Jared Polis,Democrat,Colorado,CO-02,Town Hall,"Sun, Mar 12, 2017","5:00 PM, MST",TBA,"Northglenn, CO 80233"
Jim Himes,Democrat,Connecticut,CT-04,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",Bridgeport City Hall,"45 Lyon Terrace, Bridgeport, CT 06604"
Jim Himes,Democrat,Connecticut,CT-04,Town Hall,"Sat, Mar 4, 2017","2:30 PM, EST",UConn Stamford GenRe Auditorium,"1 University Pl, Stamford, CT 06901"
Chris Murphy,Democrat,Connecticut,Senate,Town Hall,"Tue, Feb 21, 2017","7:30 PM, EST",West Hartford Town Hall Auditorium,"50 S Main St, West Hartford, CT 06107"
Chris Murphy,Democrat,Connecticut,Senate,Town Hall,"Tue, Feb 21, 2017","7:30 PM, EST",West Hartford Town Hall Auditorium,"50 S Main St, West Hartford, CT 06107"
Lisa Blunt Rochester,Democratic,Delaware,DE-AL,Other,"Thu, Feb 23, 2017","4:00 PM, EST",Wilmington District Office,"1105 N Market St, Wilmington, DE 19801"
Dennis Ross,Republican,Florida,FL-15,Town Hall,"Tue, Feb 21, 2017","5:30 PM, EST",Clermont City Center,"620 W Montrose St, Clermont, FL 34711"
Marco Rubio,Republican,Florida,Senate,Empty Chair Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",National Association of Letter Carriers Branch 599,"3003 W Cypress St, Tampa, FL 33609"
Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, Feb 23, 2017","4:30 PM, EST",Milton County Commissioners Building,"6495 Caroline St, Milton, FL 32570"
