Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Tom Emmer,Republican,Minnesota,MN-6,Town Hall,"Wed, Feb 22, 2017","7:00 PM, CST",Sartell City Hall,"125 Pine Cone Rd N, Sartell, MN 56377"
Tom Emmer,Republican,Minnesota,MN-06,Town Hall,"Wed, Feb 22, 2017","7:00 PM, CST",Sartell City Hall,"125 Pine Cone Rd N, Sartell, MN 56377"
Betty McCollum,Democratic,Minnesota,MN-04,Town Hall,"Thu, Feb 23, 2017","4:00 PM, CST","University of St. Thomas - James Woulfe Alumni Hall, 3rd Floor","2115 Summit Ave, St Paul, MN 55105"
Tim Walz,Democratic,Minnesota,MN-01,Town Hall,"Thu, Feb 23, 2017","5:30 PM, CST",Rochester Community and Technical College - Charles E Theater,"851 30th Ave SE, Rochester, MN 55904"
Tim Walz,Democrat,Minnesota,MN-01,Town Hall,"Thu, Feb 23, 2017","5:30 PM, CST",Rochester Community and Technical College - Charles E. Hill Theater,"851 30th Ave SE, Rochester, MN 55904"
Betty McCollum,Democratic,Minnesota,MN-04,Town Hall,"Fri, Feb 24, 2017","10:00 AM, CST","Hallie Q. Brown Community Center, Canteen Room","270 N Kent St, St Paul, MN 55102"
Betty McCollum,Democrat,Minnesota,MN-04,Office Hours,"Tue, Mar 14, 2017","9:00 AM, CST",Stillwater City Hall,"216 4th St N, Stillwater, MN 55082"
Betty McCollum,Democrat,Minnesota,MN-04,Office Hours,"Tue, Mar 21, 2017","9:00 AM, CST",Woodbury City Hall,"8301 Valley Creek Rd, Woodbury, MN 55125"
Al Franken,Democratic,Minnesota,Senate,Coffee,Every Wednesday Senate is in session,"8:45 AM, EST",309 Hart Senate Bldg,"104 Hart Senate Office Building, Washington, DC 20002"
Rick Nolan,Democrat,Minnesota,MN-08,Town Hall,"Tue, Feb 21, 2017","2:30 PM, CST",Tower City Hall,"602 Main St, Tower, MN 55790"
Rick Nolan,Democrat,Minnesota,MN-08,Town Hall,"Tue, Feb 21, 2017","11:30 AM, CST",Pine City Senior Center - Senior Dining,"670 Main St S, Pine City, MN 55063"
Rick Nolan,Democrat,Minnesota,MN-08,Town Hall,"Tue, Feb 21, 2017","2:00 PM, CST",Pine City Courthouse,"635 Northridge Dr NW, Pine City, MN 55063"
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Wed, Feb 22, 2017","11:00 AM, CST",Ogilvie Senior Dining,"102 S Hill Ave, Ogilvie, MN 56358"
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Wed, Feb 22, 2017","1:00 PM, CST",Ogilvie City Hall,"102 S Hill Ave, Ogilvie, MN 56358"
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","1:00 PM, CST",Taylors Falls City Hall,"637 1st St, Taylors Falls, MN 55084"
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","2:30 PM, CST",Shafer City Hall,"17656 303rd Ln, Shafer, MN 55074"
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","4:00 PM, CST",Chisago Lakes Library,"11754 302nd St, Chisago City, MN 55013"
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","6:00 PM, CST",Wyoming Library,"26855 Forest Blvd, Wyoming, MN 55092"
Erik Paulsen,Republican,Minnesota,MN-03,Empty Chair Town Hall,"Thu, Feb 23, 2017","7:00 PM, CST",Mount Olivet Lutheran Church,"12235 Old Rockford Rd, Minneapolis, MN 55441"
Roger Wicker,Republican,Mississippi,Senate,Coffee,Every Tuesday,"8:30 AM, EST",TBD,Mississippi
Deb Fischer,Republican,Nebraska,Senate,Office Hours,"Wed, Mar 1, 2017","3:00 PM, CST",Pilger Library,"120 N Main St, Pilger, NE 68768"
Deb Fischer,Republican,Nebraska,Senate,Office Hours,"Wed, Mar 1, 2017","1:00 PM, CST",Schuyler City Offices,"1103 B St, Schuyler, NE 68661"
Deb Fischer,Republican,Nebraska,Senate,Office Hours,"Wed, Mar 1, 2017","10:00 AM, CST",Keene Memorial Library,"1030 N Broad St, Fremont, NE 68025"
Jacky Rosen,Democrat,Nevada,NV-03,Other,"Wed, Mar 22, 2017","4:30 PM, MST",Congresswoman Rosen's Las Vegas Office,"8872 S Eastern Ave, Las Vegas, NV 89123"
Ruben J. Kihuen,Democrat,Nevada,NV-04,Other,"Fri, Feb 24, 2017","5:30 PM, PST",,"2250 N Las Vegas Blvd #500, North Las Vegas, NV 89030"
Rep Ruben Kihuen,Democrat,Nevada,NV-04,Ticketed Event,"Fri, Feb 24, 2017","5:30 PM, PST","Kihuen District Office, suite 500","2250 N Las Vegas Blvd, North Las Vegas, NV 89030"
Dean Heller,Republican,Nevada,Senate,Empty Chair Town Hall,"Wed, Feb 22, 2017","11:00 AM, PST",Gold Dust West,"2171 E William St, Carson City, NV 89701"
Rep Carol Shea-Porter,Democrat,New Hampshire,NH-01,Other,"Mon, Feb 20, 2017","3:00 PM, EST",N. Main St.,"N Main St, Concord, NH 03301"
Leonard Lance,Republican,New Jersey,NJ-7,Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST","Raritan Valley Community College, Edward Nash Theater","118 Lamington Rd, Branchburg, NJ 08876"
Leonard Lance,Republican,New Jersey,NJ-07,Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",Raritan Valley Community College in Branchburg,"118 Lamington Rd, Branchburg, NJ 08876"
Tom MacArthur,Republican,New Jersey,NJ-03,Empty Chair Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",Frances S. DeMasi Middle School,"199 Evesboro Medford Rd, Marlton, NJ 08053"
Donald Norcross,Democratic,New Jersey,NJ-1,Town Hall,"Thu, Feb 23, 2017","6:30 PM, EST",Oaklyn Municipal Bldg - Court Room,"500 White Horse Pike, Oaklyn, NJ 08107"
Tom MacArthur,Republican,New Jersey,NJ-3,Tele-Town Hall,"Thu, Feb 23, 2017","7:00 PM, EST",,New Jersey
Rep Donald Norcross,Democrat,New Jersey,NJ-01,Town Hall,"Thu, Feb 23, 2017","6:30 PM, EST",Oaklyn Municipal Building (Court Room),"500 White Horse Pike, Oaklyn, NJ 08107"
Leonard Lance,Republican,New Jersey,NJ-07,Town Hall,"Sat, Feb 25, 2017","9:00 AM, EST",Raritan Valley Community College in Branchburg,"118 Lamington Rd, Branchburg, NJ 08876"
Donald Norcross,Democratic,New Jersey,NJ-1,Town Hall,"Mon, Mar 6, 2017","6:30 PM, EST",Bellmawr Ballroom,"29 Lewis Ave, Bellmawr, NJ 08031"
Rep Donald Norcross,Democrat,New Jersey,NJ-01,Town Hall,"Mon, Mar 6, 2017","6:30 PM, EST",Bellmawr Ballroom,"29 Lewis Ave, Bellmawr, NJ 08031"
Tom MacArthur,Republican,New Jersey,NJ-03,Other,"Fri, Mar 31, 2017","11:00 AM, EST","Ocean Community College Main Campus, Gateway Building Lecture Hall","1 College Dr, Toms River, NJ 08753"
Chris Smith,Republican,New Jersey,NH-04,Empty Chair Town Hall,"Wed, Feb 22, 2017","6:00 PM, EST",Monmouth County Library,"25 Symmes Dr, Manalapan Township, NJ 07726"
Ben Ray Luj‡n,Democratic,New Mexico,NM-03,Town Hall,"Sat, Feb 25, 2017","10:00 AM, MST",Boys and Girls Club of Sante Fe,"6600 Valentine Way, Santa Fe, NM 87507"
Ben Ray Lujan,Democrat,New Mexico,NM-03,Town Hall,"Sat, Feb 25, 2017","10:00 AM, MST",Boys and Girls Club of Santa Fe,"6600 Valentine Way, Santa Fe, NM 87507"
Yvette Clarke,Democratic,New York,NY-9,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",Union Temple,"17 Eastern Pkwy, Brooklyn, NY 11238"
Brian Higgins,Democrat,New York,NY-26,Other,"Wed, Feb 22, 2017","10:30 AM, EST",Schiller Park Senior Center,"2057 Genesee St, Buffalo, NY 14211"
Brian Higgins,Democrat,New York,NY-26,Other,"Fri, Feb 24, 2017","10:30 AM, EST",North Buffalo Community Center,"203 Sanders Rd, Buffalo, NY 14216"
Sean Patrick Maloney,Democratic,New York,NY-18,Town Hall,"Sun, Feb 26, 2017","2:00 PM, EST",Springfield Baptist Church,"8 Church St, Beacon, NY 12508"
Carolyn Maloney,Democratic,New York,NY-12,Town Hall,"Thu, Mar 30, 2017","7:30 PM, EST",All Souls Church,"1157 Lexington Ave, New York, NY 10075"
Nydia Velazquez,Democrat,New York,NY-07,Other,"Thu, Feb 23, 2017","7:00 PM, EST",All Saints Episcopal Church,"85-45 96th St, Woodhaven, NY 11421"
Yvette D. Clarke,Democrat,New York,Ny-09,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",Union Temple,
G.K. Butterfield,Democrat,North Carolina,NC-01,Other,"Sat, Feb 25, 2017","1:00 PM, EST",Hillside High School Auditorium,"3727 Fayetteville St, Durham, NC 27707"
David Rouzer,Republican,North Carolina,NC-07,Office Hours,"Wed, Mar 1, 2017","9:00 AM, EST",Kenansville Agricultural Center,"165 Agriculture Dr a, Kenansville, NC 28349"
David Rouzer,Republican,North Carolina,NC-07,Office Hours,"Wed, Mar 1, 2017","1:00 PM, EST",Clinton Town Hall,"221 Lisbon St, Clinton, NC 28328"
Richard Pittenger,Republican,North Carolina,NC-9,Office Hours,First and third Tuesday of each month,"1:30 PM, EST",Elizabethtown Town Hall,"805 W Broad St, Elizabethtown, NC 28337"
"Richard Burr, Thom Tillis",Republican,North Carolina,Senate,Empty Chair Town Hall,"Wed, Feb 22, 2017","6:00 PM, EST",Herbert Young Community Center,"101 Wilkinson Ave, Cary, NC 27513"
Kevin Cramer,Republican,North Dakota,ND-At Large,Town Hall,"Thu, Feb 23, 2017","1:00 PM, CST",Beans Coffee Bar,"5675 26th Ave S, Fargo, ND 58104"
Kevin Cramer,Republican,North Dakota,ND-At-Large,Mobile Office Hours,"Wed, Mar 1, 2017","11:00 AM, CST",Northwood Community Center,"6 N Raymond St, Northwood, ND 58267"
Kevin Cramer,Republican,North Dakota,ND-At-Large,Mobile Office Hours,"Wed, Mar 1, 2017","1:00 PM, CST",Larimore Edna Ralston Library,
Rob Portman,Republican,Ohio,Senate,Ticketed Event,"Wed, Feb 22, 2017","6:00 PM, EST",Terra State Community College,"2830 Napoleon Rd, Fremont, OH 43420"
Pat Tiberi,Republican,Ohio,OH-12,Empty Chair Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",First Unitarian Universalist,"93 W Weisheimer Rd, Columbus, OH 43214"
Steve Chabot,Republican,Ohio,OH-1,Ticketed Event,"Thu, Feb 23, 2017","7:30 AM, EST",VFW Harrison,"9160 Lawrenceburg Rd, Harrison, OH 45030"
Marcia Fudge,Democratic,Ohio,OH-11,Town Hall,"Sat, Feb 25, 2017","10:00 AM, EST",Corporate College East Auditorium,"4400 Richmond Rd, Warrensville Heights, OH 44128"
Rob Portman,Republican,Ohio,Senate,DC Event,"Wed, Mar 1, 2017","9:00 AM, EST",Washington DC Office,"448 Russell Senate Office Building, Washington, DC 20510"
Sherrod Brown,Democratic,Ohio,Senate,Coffee,Every Thursday,"8:30 AM, EST",Capitol Visitor Center,"East Capitol St NE & First St SE, Washington, DC 20004"
Rob Portman,Republican,Ohio,Senate,Coffee,Every Wednesday,", EST",Call for info,Ohio
Joyce Beatty,Democrat,Ohio,OH-03,Town Hall,"Tue, Feb 21, 2017","9:30 AM, EST",The Clocktower,"4500 Eastland Dr, Columbus, OH 43232"
Rob Portman,Republican,Ohio,Senate,Empty Chair Town Hall,"Thu, Feb 23, 2017","6:30 PM, EST",St. James AME Church,"8401 Cedar Ave, Cleveland, OH 44103"
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Fri, Feb 24, 2017","10:00 AM, CST",Events at 10 West Main,"10 W Main St, Yukon, OK 73099"
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Thurs, Feb 23, 2017","10:30 AM, CST",Oklahoma Territorial Musuem,"406 E Oklahoma Ave, Guthrie, OK 73044"
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Wed, Feb 22, 2017","3:30 PM, CST",Rt. 66 Interpretive Center,"400 Rte 66, Chandler, OK 74834"
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Wed, Feb 22, 2017","1:30 PM, CST",Collins Building - 2nd Floor Ballroom,"317 E Lee Ave, Sapulpa, OK 74066"
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Wed, Feb 22, 2017","10:00 AM, PST",Madras Performing Arts Center,"412 SE Buff St, Madras, OR 97741"
Kurt Schrader,Democratic,Oregon,OR-05,Town Hall,"Wed, Feb 22, 2017","6:00 PM, PST",North Salem High School,"765 14th St NE, Salem, OR 97301"
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Thu, Feb 23, 2017","9:45 AM, PST",Ashland High School Gym,"201 S Mountain Ave, Ashland, OR 97520"
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Fri, Feb 24, 2017","11:30 AM, PST",Astoria High School auditorium,"1001 W Marine Dr, Astoria, OR 97103"
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Sat, Feb 25, 2017","12:00 PM, PST",David Douglas High School,"1001 SE 135th Ave, Portland, OR 97233"
Peter DeFazio,Democratic,Oregon,OR-04,Town Hall,"Sat, Feb 25, 2017","11:00 AM, PST",John G Shedd Institute for the Arts,"868 High St, Eugene, OR 97401"
Peter DeFazio,Democratic,Oregon,OR-04,Town Hall,"Sat, Feb 25, 2017","2:30 PM, PST",LaSells Stewart Center,"875 SW 26th St, Corvallis, OR 97331"
Suzanne Bonamici,Democrat,Oregon,OR-01,Town Hall,"Fri, Mar 3, 2017","6:00 PM, PST",,Oregon
Suzanne Bonamici,Democrat,Oregon,OR-01,Town Hall,"Mon, Mar 13, 2017","6:30 PM, PST",TBD,
Kurt Schrader,Democrat,Oregon,OR-05,Town Hall,"Tue, Feb 21, 2017","6:00 AM, PST",Alder Creek Middle School Auditorium,"13801 SE Webster Rd, Milwaukie, OR 97222"
Kurt Schrader,Democrat,Oregon,OR-05,Town Hall,"Wed, Feb 22, 2017","6:00 AM, PST",North Salem High School Gym,"765 14th St NE, Salem, OR 97301"
Ryan Costello,Republican,Pennsylvania,PA-6,Tele-Town Hall,"Wed, Feb 22, 2017","2:00 PM, EST",Call-in,Pennsylvania
Ryan Costello,Republican,Pennsylvania,PA-06,Teletown Hall,"Wed, Feb 22, 2017","2:00 PM, EST",,Pennsylvania
Lou Barletta,Republican,Pennsylvania,PA-11,Other,"Wed, Feb 22, 2017","5:00 PM, EST",Shippensburg University,"1871 Old Main Dr, Shippensburg, PA 17257"
Ryan Costello,Republican,Pennsylvania,PA-6,Tele-Town Hall,"Thu, Feb 23, 2017","7:00 PM, EST",Call-in,Pennsylvania
Ryan Costello,Republican,Pennsylvania,PA-06,Teletown Hall,"Thu, Feb 23, 2017","7:00 PM, EST",,Pennsylvania
Mike Kelly,Republican,Pennsylvania,PA-03,Tele-Town Hall,"Mon, Feb 27, 2017","7:15 PM, EST",Call-in,Pennsylvania
Mike Kelly,Republican,Pennsylvania,PA-03,Teletown Hall,"Mon, Feb 27, 2017","7:15 AM, EST",877-228-2184; ID #19013,Pennsylvania
"Bob Casey, Jr.",Democratic,Pennsylvania,Senate,Coffee,"Thu, Mar 9, 2017","8:30 AM, EST","Room 385, Russell Senate Office Building","2 Constitution Ave NE, Washington, DC 20002"
"Bob Casey, Jr.",Democratic,Pennsylvania,Senate,Coffee,"Thu, Apr 6, 2017","8:30 AM, EST","Room 385, Russell Senate Office Building","2 Constitution Ave NE, Washington, DC 20002"
Mike Kelly,Republican,Pennsylvania,PA-03,Teletown Hall,"Mon, Feb 27, 2017","7:15 AM, EST",NA,Pennsylvania
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Longworth House Office Building,"Longworth House Office Building, 9 Independence Ave SE, Washington, DC 20515"
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Adams County District Office,"22 Chambersburg St, Gettysburg, PA 17325"
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Cumberland/Dauphin Counties District Office,"730 N Front St, Wormleysburg, PA 17043"
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",York County District Office,"2209 E Market St, East York, PA 17402"
Glenn Thompson,Republican,Pennsylvania,PA-05,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Cannon HOB,"124 Cannon Hob, Washington, DC 20515"
Glenn Thompson,Republican,Pennsylvania,PA-05,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Bellefonte Office,"3555 Benner Pike #101, Bellefonte, PA 16823"
Glenn Thompson,Republican,Pennsylvania,PA-05,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Titusville Office,"127 W Spring St c, Titusville, PA 16354"
Ryan Costello,Republican,Pennsylvania,PA-06,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Cannon HOB,"Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20003"
Ryan Costello,Republican,Pennsylvania,PA-6,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",West Chester Office,"21 Market St #105, West Chester, PA 19380"
Ryan Costello,Republican,Pennsylvania,,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Wyomissing Office,"840 N Park Rd, Wyomissing, PA 19610"
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Rayburn HOB,"2305 Rayburn Hob, Washington, DC 20515"
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Springfield Office,"940 W Sproul Rd, Springfield, PA 19064"
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Amity Office Hours,"2004 Weavertown Rd, Douglassville, PA 19518"
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Paradise Office,"2 Township Dr, Paradise, PA 17562"
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Whitpain Office,"960 Wentz Rd, Blue Bell, PA 19422"
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Honey Brook Office,"500 Suplee Rd, Honey Brook, PA 19344"
Brian Fitzpatrick,Republican,Pennsylvania,PA-08,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Cannon HOB,"Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20003"
Brian Fitzpatrick,Republican,Pennsylvania,PA-08,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Langhorne Office,"1717 Newtown-Langhorne Rd #400, Langhorne, PA 19047"
Brian Shuster,Republican,Pennsylvania,PA-09,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Rayburn HOB,"Rayburn House Office Building, Washington, DC 20515"
Brian Shuster,Republican,Pennsylvania,PA-09,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Hollidaysburg Office,"310-16 Penn St #200, Hollidaysburg, PA 16648"
Brian Shuster,Republican,Pennsylvania,PA-09,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Chambersburg Office,"100 Lincoln Hwy b, Chambersburg, PA 17201"
Bill Shuster,Republican,Pennsylvania,,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Indiana Office,"827 Water St #3, Indiana, PA 15701"
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Rayburn HOB,"Rayburn House Office Building, Washington, DC 20515"
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Hamlin Office,"543 Easton Turnpike #101, Lake Ariel, PA 18436"
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Selinsgrove Office,"713 Bridge St, Selinsgrove, PA 17870"
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Williamsport Office,"1020 Commerce Park Dr #1a, Williamsport, PA 17701"
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Rayburn HOB,"Rayburn House Office Building, Washington, DC 20515"
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Carlisle Office,"126 N Hanover St, Carlisle, PA 17013"
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Harrisburg Office,"4813 Jonestown Rd #101, Harrisburg, PA 17109"
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Hazleton Office,"1 S Church St #100, Hazleton, PA 18201"
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",Sunbury Office,"106 Arch St, Sunbury, PA 17801"
Jim Langevin,Democrat,Rhode Island,RI-02,Office Hours,"Sat, Mar 11, 2017","12:00 PM, EST",Cowesett Inn,"226 Cowesett Ave, West Warwick, RI 02893"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Feb 22, 2017","12:00 PM, EST",County Complex Building,"1301 2nd Ave, Conway, SC 29526"
Tom Rice,Republican,South Carolina,SC-07,Town Hall,"Thu, Feb 23, 2017","6:00 PM, EST",Florence Public Library,"509 S Dargan St, Florence, SC 29506"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Tue, Feb 28, 2017","10:00 AM, EST",Johnsonville City Hall,"111 W Broadway St, Johnsonville, SC 29555"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Tue, Feb 28, 2017","2:00 PM, EST",Pamplico Public Library,"100 E Main St, Scranton, SC 29591"
Joe Wilson,Republican,South Carolina,SC-02,Office Hours,"Wed, Mar 1, 2017","6:00 PM, EST",by phone,"2339 Broad St, Camden, SC 29020"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Mar 1, 2017","10:00 AM, EST",Coward City Hall - Court Room,"3720 US-52, Coward, SC 29530"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Mar 1, 2017","2:00 PM, EST",Timmonsville Library - Meeting Room,"298 W Smith St, Timmonsville, SC 29161"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Thu, Mar 2, 2017","10:00 AM, EST","Hartsville City Hall, City Councile Chamber","100 E Carolina Ave, Hartsville, SC 29550"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Thu, Mar 2, 2017","2:00 PM, EST",Darlington City Municipal Court Building - Old City Hall Council Chamber,"400 Pearl St, Darlington, SC 29532"
Mark Sanford,Republican,South Carolina,SC-01,Town Hall,"Fri, Mar 3, 2017","2:00 PM, EST","Technical College of the Lowcountry, MacLean Hall, Bldg 12 in the Student Center","921 Ribaut Rd, Beaufort, SC 29902"
Mark Sanford,Republican,South Carolina,SC-01,Town Hall,"Sat, Mar 4, 2017","2:00 PM, EST",Technical College of the Lowcountry - MacLean Hall Bldg 12,"921 Ribaut Rd, Beaufort, SC 29902"
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Mar 8, 2017","12:00 PM, EST",Waccamaw Regional Council of Governments Office,"1230 Highmarket St, Georgetown, SC 29440"
Tom Price,Republican,South Carolina,SC-07,Coffee,"Thu, Feb 23, 2017","6:00 PM, EST",Florence County Library,"509 S Dargan St, Florence, SC 29506"
John Thune,Republican,South Dakota,Senate,Coffee,Every Wednesday,", EST",TBD,South Dakota
Steve Cohen,Democrat,Tennessee,TN-09,Other,"Fri, Feb 24, 2017","11:00 AM, CST",Whitehaven Branch Library,"4120 Millbranch Rd, Memphis, TN 38116"
Jim Cooper,Democratic,Tennessee,TN-05,Other,"Fri, Mar 3, 2017","4:00 PM, CST",Nashville Office,"605 Church St, Nashville, TN 37219"
Mark Veasey,Democrat,Texas,TX-33,Office Hours,"Thu, Feb 23, 2017","1:00 PM, CST",Arcadia Park Library,"1302 N Justin Ave, Dallas, TX 75211"
Beto O'Rourke,Democrat,Texas,TX-16,Town Hall,"Fri, Feb 24, 2017","12:00 PM, EST",El Paso Public Library Main Branch,"501 N Oregon St, El Paso, TX 79901"
John Culberson,Republican,Texas,TX-07,Teletown Hall,"Wed, Mar 1, 2017","6:00 PM, CST",Phone number to be received after sign up,Texas
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Mar 30, 2017","10:00 AM, CST",Fort Stockton Public Library,"500 N Water St, Fort Stockton, TX 79735"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Mar 30, 2017","2:00 PM, CST",Terrell County Library,"109 W Hackberry St, Sanderson, TX 79848"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Fri, Mar 31, 2017","10:00 AM, CST","Sul Ross State University, Bryan Wildenthal Memorial Library","400 N Harrison St, Alpine, TX 79830"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Fri, Mar 31, 2017","1:30 PM, CST",Jeff Davis County Library,"100 Memorial Square, Fort Davis, Texas 79734, 100 Jefferson Square, Fort Davis, TX 79734, United States"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017","9:00 AM, CST",Hondo Public Library,"1011 19th St, Hondo, TX 78861"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017","12:00 PM, CST",El Progreso Memorial Library,"301 W Main St, Uvalde, TX 78801"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Tue, Apr 4, 2017","3:00 PM, CST",Kinney County Public Library,"510 S Ellen St, Brackettville, TX 78832"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Wed, Apr 5, 2017","10:00 AM, CST",Vida y Salud Community Health Clinic,"308 Cesar Chavez, Crystal City, TX 78839"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Wed, Apr 5, 2017","1:30 PM, CST",The Benavides Center (Temporary public library location),"1951 Taft St, Eagle Pass, TX 78852"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","9:00 AM, CST",Dimmit County Public Library,"200 N 9th St, Carrizo Springs, TX 78834"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","11:00 AM, CST",Presidio Public Library,"E O'Reilly St, Presidio, TX 79845"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","12:00 PM, CST",El Vaquero Cafe,"155 I-35BL, Cotulla, TX 78014"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","2:30 PM, CST",Marfa Library,"115 E Oak St, Marfa, TX 79843"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Apr 6, 2017","3:00 PM, CST",Pearsall Public Library,"200 E Trinity St, Pearsall, TX 78061"
Will Hurd,Republican,Texas,TX-23,Office Hours,"Fri, Apr 7, 2017","11:00 AM, CST",Schleicher County Public Library,"201 SW Main St, Eldorado, TX 76936"
John Cornyn,Republican,Texas,Senate,Coffee,Every Thursday,"9:30 AM, EST",Senator Cornyn's D.C. Office,"Hart Senate Office Building, Washington, DC 20002"
Ted Cruz,Republican,Texas,Senate,Coffee,Every Tuesday,"9:30 AM, EST",TBD,Texas
Kay Granger,Republican,Texas,TX-12,Tele-town Hall,,", CST",Phone,Texas
Randy Weber,Republican,Texas,TX-14,Tele-town Hall,,", CST",Phone,Texas
